State/Territory,abbr,deaths_per_100k,dem_margin_2020,population,perc_25plus_with_bachelors,income_per_capita,perc_pop_at_least_1_dose,stringency_index,population_per_sq_mi,perc_urban,median_age,mean_temperature,perc_blue_collar_jobs,obesity_rate,perc_pop_nonwhite,flu_death_rate,McCain08Share,Romney12Share,Trump16Share,Trump16McCain08Shift,poverty_rate,relative_humidity,nursing_resid_per_pop,over_65_pct,uninsured_pct,gini_inequality,regular_church_pct,seldomornever_church_pct,cars_per_capita_pct,share_in_apts_pct,diabetes_pct,doctors_per_capita,high_blood_pressure_pct,hispanic_latino_pct,mex_amer_pct,afr_amer_pct,multi_gen_household_pct,under_18_pct,undocumented_pct,res_per_household,cig_use_pct,urb_index_538,pct_in_city_min_200k,pctExcessAfterMarch1_2020Higher,pctExcessAfterMarch1_2020Lower,pctExcessAfterMarch1_2020,pctExcessAfterJune1_2020Higher,pctExcessAfterJune1_2020Lower,pctExcessAfterJune1_2020,pctExcessAfterJuly1_2020Higher,pctExcessAfterJuly1_2020Lower,pctExcessAfterJuly1_2020,pctExcessAfterSept1_2020Higher,pctExcessAfterSept1_2020Lower,pctExcessAfterSept1_2020,pctExcessAfterOct1_2020Higher,pctExcessAfterOct1_2020Lower,pctExcessAfterOct1_2020,pctExcessAfterNov1_2020Higher,pctExcessAfterNov1_2020Lower,pctExcessAfterNov1_2020,pctExcessAfterDec1_2020Higher,pctExcessAfterDec1_2020Lower,pctExcessAfterDec1_2020,deaths_since_march1_2020,deaths_since_march1_2020_per330million,deaths_since_march1_2020_per100k,deaths_since_june1_2020,deaths_since_june1_2020_per330million,deaths_since_oct1_2020,deaths_since_oct1_2020_per330million,deaths_since_oct1_2020_per100k
Maryland,MD,148,33.2,6045680,0.4088,36338,0.555,61.8083836206893,610.8,0.872,39.1,54.61,0.098,0.323,0.493,11.4,36.47,35.9,33.91,-2.5600000000000023,9.0,68.8,0.0027232668616268,15.4,11.0,0.456,31.0,32.0,690.0,15.0,9.2,386.0,34.3,10.1,1.7,32.2,0.0461938765932852,22.2,4.5,2.67,12.5,11.71,0.0969503844067168,0.2130359265015083,0.1476917451320961,0.1803638358168022,0.1786315664650776,0.1111585438159611,0.1448950551405193,0.1770930837233489,0.1096723868954758,0.1433827353094123,0.1885901162790697,0.1219939217758985,0.1552920190274841,0.1998720216810328,0.1338879060488576,0.1668799638649452,0.2162794968322468,0.1512257827564043,0.1837526397943256,0.2279127166657317,0.1637964884725416,0.1958546025691367,9644,526412.2480845827,159.51886305593416,6960,379907.6365272393,5580,304581.1223882177,92.29730981461142
Massachusetts,MA,258,33.5,6949503,0.4498,36593,0.649,63.37411889596636,858.0,0.92,39.6,48.14,0.11,0.252,0.285,13.2,35.99,37.51,32.81,-3.18,9.4,71.1,0.0049446701440376,16.5,8.0,0.48,23.0,45.0,820.0,13.0,7.7,449.5,28.1,11.8,0.7,9.9,0.0351449439389137,19.8,3.8,2.53,13.4,11.84,0.0995079792036927,0.1750077423350882,0.138030349953546,0.1565190461443171,0.077930795988527,0.0452612949815903,0.0615960454850586,0.0817517269130172,0.0486441776764357,0.0651979522947265,0.103959831108068,0.0620791966221613,0.0830195138651146,0.1161944372238107,0.0707044450220951,0.0934494411229529,0.1361441013460015,0.0859857482185273,0.1110649247822644,0.1483359899531469,0.1011930638071777,0.1247645268801622,17907,850321.2387993789,257.6731026664784,10668,506574.3550294172,8421,399874.6385173156,121.17413288403502
Michigan,MI,201,2.8,9986857,0.3003,26613,0.477,58.38528662420416,175.0,0.746,39.9,46.64,0.176,0.36,0.25,12.8,40.96,44.71,47.5,6.539999999999999,13.0,72.1,0.003759641296556,17.2,12.0,0.463,33.0,32.0,870.0,8.0,9.3,287.0,35.1,5.1,4.9,15.3,0.0285519965339002,21.7,1.0,2.49,18.9,10.81,0.0866538892065842,0.2027641841260131,0.1523359840954274,0.1775500841107203,0.1797500157025312,0.1261604170592299,0.1529552163808806,0.1897510173115387,0.1359542037381888,0.1628526105248637,0.2081272580588586,0.1553544494720965,0.1817408537654775,0.2188915720358433,0.1668229987826052,0.1928572854092242,0.2280057402767981,0.1768297132293921,0.2024177267530951,0.1992822398861075,0.1492466484755012,0.1742644441808044,20460,676068.5569043393,204.8692596679816,14524,479922.7624867363,13332,440534.9951441179,133.4954530739751
Minnesota,MN,132,7.1,5639632,0.3725,32638,0.532,59.2644893617023,68.1,0.733,38.3,42.98,0.152,0.301,0.201,7.5,43.82,44.96,44.92,1.1000000000000014,9.0,70.4,0.0041570088261078,15.9,8.0,0.443,34.0,29.0,870.0,12.0,6.8,302.7,28.7,5.3,3.7,8.1,0.0196533919322153,23.2,1.7,2.49,15.1,10.46,0.1311837368111962,0.1384546672621706,0.0867676316537415,0.112611149457956,0.1510358713506067,0.0964075663646479,0.1237217188576273,0.15012036311958,0.0964355114707503,0.1232779372951651,0.1714464990957074,0.1201048241243125,0.14577566161001,0.1812012644889357,0.1329399367755532,0.1570706006322444,0.1944386909693455,0.1497514498757249,0.1720950704225352,0.144937674891885,0.1067794454337318,0.1258585601628084,7454,436166.7569798881,132.17174453936002,6386,373673.3176916508,5355,313344.91328512214,94.95300402579458
Mississippi,MS,244,-16.5,2976149,0.2231,21036,0.332,53.44000000000043,63.7,0.493,38.0,63.5,0.169,0.408,0.434,22.6,56.18,55.29,57.94,1.759999999999998,19.6,73.6,0.0053502025604228,15.9,22.0,0.49,49.0,18.0,692.0,7.0,12.0,191.3,43.6,2.9,1.9,38.9,0.0472356209480026,23.6,0.7,2.62,20.5,8.91,0.0,0.2776863797731405,0.2031344705169278,0.2404104251450342,0.3094739205268278,0.2313851680011973,0.2704295442640125,0.3157506455182589,0.2375917045780564,0.2766711750481577,0.2823192927717108,0.2043161726469058,0.2433177327093083,0.2863997156734984,0.2083283971093472,0.2473640563914228,0.3067763585191599,0.2286209136176661,0.267698636068413,0.3233082706766917,0.2445820433436532,0.2839451570101725,7291,808437.3463828592,244.9810140554119,6272,695449.0517779855,4042,448183.20588115713,135.81309269125975
Missouri,MO,146,-15.4,6137428,0.3022,26126,0.415,50.44925690021238,87.9,0.704,38.9,54.7,0.136,0.348,0.206,13.1,49.43,53.76,56.77,7.340000000000003,12.9,69.2,0.0060737168729311,16.9,17.0,0.463,37.0,28.0,830.0,7.0,8.7,273.1,30.9,4.2,2.9,12.9,0.0281084326518292,22.5,1.0,2.47,19.4,10.2,0.1295011526000793,0.1900477571209278,0.1351554949115924,0.1626016260162601,0.2315533980582524,0.1703883495145631,0.2009708737864077,0.247904584298215,0.1860975059942209,0.2170010451462179,0.272713020302579,0.2131117556374278,0.2429123879700034,0.2787669807675158,0.2209506257245622,0.249858803246039,0.2721073709275896,0.2169065916224699,0.2445069812750298,0.2193243479782951,0.1669875722037458,0.1931559600910204,9141,491497.4155297626,148.9386107665947,8245,443320.8829496656,6616,355732.0753905382,107.7975986031934
Montana,MT,149,-16.4,1068778,0.3358,25989,0.445,54.40717622080688,7.0,0.559,40.1,44.18,0.115,0.283,0.137,10.5,49.51,55.35,56.17,6.660000000000004,12.6,60.4,0.0035330068545572,18.7,13.0,0.46,31.0,38.0,1120.0,6.0,6.7,247.1,29.5,3.7,2.7,1.4,0.0191225428480684,21.6,0.3,2.39,18.0,8.47,0.0,0.1928623585250091,0.111810879883169,0.152336619204089,0.2313582282954411,0.1434797973848509,0.187419012840146,0.2432049465412855,0.1549658637124822,0.1990854051268839,0.2856434825706261,0.1937882041962663,0.2397158433834462,0.2889097744360902,0.2033834586466165,0.2461466165413534,0.249942726231386,0.174799541809851,0.2123711340206185,0.1675480100194823,0.1052045644308377,0.13637628722516,1612,497727.3110037819,150.8264578799339,1594,492169.5618734667,1430,441532.2920194839,133.79766424832846
Nebraska,NE,116,-19.2,1934408,0.3323,27446,0.473,52.63136069114488,24.3,0.731,36.8,49.88,0.146,0.341,0.21,14.5,56.53,59.8,58.75,2.219999999999999,9.9,65.8,0.0054714413918883,15.7,12.0,0.44,39.0,29.0,1046.0,11.0,8.4,239.2,31.0,10.9,7.9,6.1,0.0215971606493796,24.7,3.1,2.46,16.0,10.2,0.3974849152815745,0.1526787150748109,0.0965302729661607,0.1246044940204858,0.1875483100274049,0.1247979762490338,0.1561731431382194,0.2021317679771375,0.1359388275276125,0.169035297752375,0.2245359002062665,0.1592181514585993,0.1918770258324329,0.2404212413174994,0.1773470759578758,0.2088841586376876,0.2327550881027182,0.1772981833082912,0.2050266357055047,0.1342070338420703,0.0882548108825481,0.1112309223623092,2431,414716.0268154392,125.6715232774058,2260,385544.3112311363,1943,331465.7507619902,100.4441668975728
Nevada,NV,180,2.4,3080156,0.2569,25773,0.444,56.52791932059469,25.4,0.942,38.3,57.3,0.103,0.306,0.512,13.3,42.65,45.68,45.5,2.8500000000000014,12.5,38.3,0.0018265308640211,15.7,21.0,0.471,31.0,33.0,803.0,14.0,9.0,213.5,32.8,28.8,21.6,11.3,0.0444306667704364,22.7,7.1,2.68,15.7,11.77,0.490536193621362,0.250980530723296,0.1759655135860923,0.2134730221546942,0.306942133481235,0.2264281752634498,0.2666851543723424,0.3264206567042798,0.2457558198637796,0.2860882382840297,0.3206116762781054,0.2416250890947968,0.2811183826864511,0.3361604838114905,0.2584261376207685,0.2972933107161295,0.3715206300903965,0.2956233777857334,0.3335720039380649,0.3803534641656728,0.3066247424915971,0.3434891033286349,5843,626004.007589226,189.69818411794728,5338,571899.6050849373,4003,428871.13509835216,129.96095002980368
New Hampshire,NH,98,7.4,1359711,0.3758,34691,0.644,51.477905982905725,147.8,0.603,43.1,44.49,0.142,0.318,0.097,10.3,44.52,46.4,46.61,2.0899999999999963,7.3,70.4,0.0047046762142837,18.1,11.0,0.441,22.0,51.0,830.0,10.0,8.1,315.1,31.5,3.8,0.7,2.2,0.0288033158723005,19.0,0.7,2.46,15.6,9.92,0.0,0.093167701863354,0.0360979174278407,0.0646328096455973,0.102142310635042,0.0432287681713848,0.0726855394032134,0.099045220858252,0.042178155492603,0.0706116881754275,0.1167883211678832,0.0542038388753717,0.0854960800216274,0.1301305970149253,0.062344527363184,0.0962375621890547,0.1538756715272448,0.0769378357636224,0.1154067536454336,0.1537379892195922,0.0841340520271853,0.1189360206233888,1355,328856.64674331533,99.65352931615617,1110,269395.48183400737,916,222311.9471711268,67.36725671852328
New Jersey,NJ,293,15.9,8882190,0.4122,37288,0.585,59.03113785558007,1210.1,0.947,40.1,51.93,0.097,0.256,0.452,10.9,41.7,40.59,41.35,-0.3500000000000014,9.2,68.5,0.0047750611054255,16.1,13.0,0.478,35.0,27.0,665.0,13.0,8.2,306.5,33.0,20.4,2.6,15.1,0.0429003877959896,21.9,5.2,2.71,13.1,12.24,0.0613794570933519,0.3137111108348974,0.2690017774352727,0.2913564441350851,0.143138820538726,0.099206413870647,0.1211726172046865,0.1489525377032756,0.1058196325384188,0.1273860851208472,0.1859716418932803,0.1350549124369249,0.1605132771651026,0.2062885230553171,0.1538321500091025,0.1800603365322098,0.2432142406261835,0.1859298068425703,0.2145720237343769,0.2625504904789382,0.2057318715137526,0.2341411809963454,24759,919871.1128674347,278.7488220810408,13061,485255.3255447137,10158,377400.168201761,114.363687333867
New Mexico,NM,197,10.8,2096829,0.2767,23683,0.564,70.99791489361704,17.2,0.774,38.4,53.07,0.108,0.317,0.626,13.2,41.78,42.84,40.04,-1.740000000000002,18.2,45.9,0.0026277774677858,17.5,16.0,0.477,36.0,33.0,877.0,6.0,9.8,244.8,31.6,48.8,31.5,3.4,0.0430011847445237,23.0,2.8,2.64,15.2,9.9,0.2682812952319908,0.2389108053497546,0.147503127104782,0.1932069662272683,0.2853987884906613,0.1837455830388692,0.2345721857647653,0.293086727625381,0.192089221390967,0.242587974508174,0.3158774863580355,0.217303291674001,0.2665903890160183,0.3415856469880726,0.2435601884333968,0.2925729177107347,0.3788857734975009,0.2831890771668902,0.3310374253321955,0.3355000738661545,0.2424287191608805,0.2889643965135175,4167,655804.55058567,198.7286516926273,3811,599777.0919803189,3290,517781.8505943975,156.90359108921135
New York,NY,272,23.1,19453561,0.3781,33095,0.541,68.37402625820529,417.0,0.879,39.2,48.17,0.088,0.271,0.449,16.5,36.03,35.17,36.52,0.490000000000002,13.0,70.7,0.0046148363273952,16.4,10.0,0.515,29.0,36.0,539.0,24.0,9.7,375.1,29.6,19.2,2.5,17.6,0.0431769997684915,20.8,3.6,2.6,12.8,12.56,0.4581658340084882,0.342959189158519,0.2993531663789859,0.3211561777687525,0.1449699536071239,0.1031774449668399,0.1240736992869819,0.153538803039358,0.1121488943908477,0.1328438487151028,0.1867599219258295,0.1418781175450011,0.1643190197354153,0.2078619106959987,0.159249342990043,0.1835556268430209,0.2456465134480215,0.1918393762887373,0.2187429448683794,0.2796412358249554,0.2240989542171332,0.2518700950210443,51434,872499.3845599785,264.3937528969632,23395,396860.5028148831,20247,343459.48281653936,104.07863115652708
North Carolina,NC,123,-1.3,10488084,0.323,25774,0.426,62.06114224137952,202.6,0.661,39.1,58.7,0.155,0.34,0.37,13.8,49.38,50.39,49.83,0.4499999999999957,13.6,70.6,0.0034465780403741,16.3,20.0,0.474,39.0,24.0,790.0,10.0,10.5,255.0,35.1,9.4,5.3,23.1,0.0321581337047629,22.2,3.1,2.52,17.4,10.32,0.2305812958782557,0.1336190848949433,0.0866132712189627,0.110116178056953,0.1504649512641446,0.1029365998182519,0.1267007755411983,0.1560849088799399,0.1094942324755989,0.1327895706777694,0.1441069974532665,0.1014881932052459,0.1227975953292562,0.1308346791665025,0.0908535864812699,0.1108441328238862,0.1224137931034482,0.0869013409961685,0.1046575670498084,0.1070678183728259,0.0767188047157698,0.0918933115442978,15243,479610.0031235448,145.33636458289234,14258,448617.6884166832,11443,360045.7433407284,109.10477070931164
North Dakota,ND,197,-33.4,762062,0.3041,33071,0.415,44.36222929936321,10.5,0.599,35.3,40.8,0.166,0.348,0.156,14.3,53.25,58.32,62.96,9.71,10.6,70.9,0.0069823715130789,15.3,11.0,0.456,33.0,33.0,1080.0,17.0,8.1,237.6,29.8,3.5,2.3,3.9,0.0116500112821812,23.5,0.7,2.31,19.1,9.05,0.0,0.2238574748257165,0.1267751097340562,0.1753162922798863,0.2647404669914329,0.1637829665714765,0.2142617167814547,0.2800589210090223,0.1776836678328116,0.2288712944209169,0.324537037037037,0.2208333333333333,0.2726851851851851,0.3346487766377269,0.2373059721126019,0.2859773743751644,0.2853445486897444,0.201876415399547,0.2436104820446457,0.1688622754491018,0.1025948103792415,0.1357285429141716,1542,667740.9449624834,202.34574089772224,1481,641325.7713939286,1261,546057.9322942228,165.472100695219
Ohio,OH,168,-8.0,11689100,0.2928,26937,0.448,59.88538461538504,283.2,0.779,39.5,50.88,0.165,0.348,0.211,12.6,46.91,47.69,51.69,4.780000000000001,13.1,71.5,0.0061469232019573,17.1,11.0,0.465,38.0,30.0,910.0,9.0,9.2,292.7,34.5,3.7,1.8,14.4,0.0276906099772955,22.2,0.8,2.43,20.5,10.88,0.1589894859313377,0.1893578228445892,0.1422967136430888,0.165827268243839,0.2288444710994877,0.1766475602442213,0.2027460156718545,0.2433424764043973,0.1914537482991728,0.217398112351785,0.2669668305175761,0.2170129566139314,0.2419898935657538,0.2878051848008929,0.239007058749548,0.2634061217752205,0.3112135588032749,0.2645573494529038,0.2878854541280894,0.2981166421620108,0.2537982216621158,0.2759574319120633,16374,462261.4230351353,140.07921910155616,14219,401422.6929361542,11570,326637.6367727199,98.98110205233937
Oklahoma,OK,175,-33.1,3956971,0.2621,25229,0.41,47.726127659574274,56.1,0.662,36.9,60.14,0.151,0.368,0.344,13.7,65.65,66.77,65.32,-0.3300000000000125,15.2,64.0,0.0043500445163737,15.7,24.0,0.474,43.0,25.0,860.0,7.0,10.2,206.7,37.8,10.6,8.5,9.2,0.0321546118084394,24.3,2.2,2.58,19.7,9.94,0.2692665677863194,0.2112813370473537,0.1506731662024141,0.1809772516248839,0.2687701380023101,0.1958173749164083,0.2322937564593592,0.2882123705159378,0.2145355227658795,0.2513739466409086,0.3223084425221558,0.2506042488233049,0.2864563456727304,0.3456205613797768,0.2753756220107251,0.310498091695251,0.3613001642806853,0.2935930532738793,0.3274466087772823,0.344672336168084,0.2799256771242764,0.3122990066461802,7324,610800.534044854,185.09107092268303,6960,580443.9810147712,5950,496212.8860686621,150.36754123292792
Oregon,OR,62,16.1,4217737,0.3455,27646,0.532,60.94351063829805,40.9,0.81,39.6,51.27,0.156,0.29,0.244,9.0,40.4,42.15,39.09,-1.3099999999999952,11.4,68.6,0.0011077030170444,17.6,13.0,0.45,29.0,37.0,896.0,12.0,8.3,303.4,30.6,13.1,10.6,3.0,0.0289707715514941,20.8,2.6,2.51,15.6,10.71,0.1557117003739209,0.1294367530772577,0.0575274458121145,0.0934820994446861,0.1424437940667819,0.0691765331914327,0.1058101636291073,0.1479296405550093,0.0740012382096944,0.1109654393823518,0.1402506450423885,0.0690195355694802,0.1046350903059343,0.1375456919060052,0.0681462140992167,0.1028459530026109,0.1439446805811076,0.0766351582820529,0.1102899194315802,0.1287090558766859,0.0649710982658959,0.0968400770712909,2691,210546.55612713643,63.80198670519285,2538,198575.6816985033,2132,166809.83190748972,50.548433911360526
Pennsylvania,PA,211,1.2,12801989,0.3231,29220,0.569,56.72360341151411,285.5,0.787,40.8,49.8,0.14,0.332,0.236,13.4,44.17,46.59,48.18,4.009999999999998,12.0,69.6,0.0056646666389105,18.2,10.0,0.475,34.0,31.0,798.0,7.0,8.7,320.5,33.3,7.3,1.2,12.9,0.0324151062001477,20.7,1.3,2.46,17.0,11.15,0.1466735364325028,0.2123069809152817,0.1715943166213603,0.191950648768321,0.2142205680488636,0.1708660764461477,0.1925433222475057,0.2266371439837423,0.1837584801884598,0.205197812086101,0.2547680082030248,0.2130992053319661,0.2339336067674955,0.2736852845149253,0.2328591417910447,0.2532722131529851,0.307206919777376,0.267928675245489,0.2875677975114325,0.3085172956992728,0.2710990267797414,0.2898081612395071,27905,719314.0065969436,217.97394139301323,21788,561634.602248135,19207,495103.534302365,150.0313740310197
Rhode Island,RI,255,20.8,1059361,0.3484,30830,0.595,65.1944161358809,1017.1,0.907,40.1,49.27,0.12,0.3,0.279,11.7,35.06,35.24,38.9,3.839999999999996,10.8,71.4,0.0071344895649358,17.2,9.0,0.463,36.0,35.0,829.0,10.0,8.3,370.0,33.0,15.4,1.1,9.6,0.0288623536866302,19.4,2.8,2.47,14.6,11.72,0.0,0.1775409409929815,0.0919331080495624,0.1347370245212719,0.1539517328148233,0.0712570056044835,0.1126043692096534,0.1540005016302984,0.072987208427389,0.1134938550288437,0.1844118584635001,0.0927637870576984,0.1385878227605993,0.2056789224608664,0.1059337459046232,0.1558063341827448,0.2362065145136272,0.1289607799689785,0.1825836472413028,0.2441453566621803,0.1432032301480484,0.1936742934051143,2717,846368.7071734753,256.475365810144,1890,588751.143377942,1592,495921.5980199385,150.27927212725407
South Carolina,SC,187,-11.7,5148714,0.296,24596,0.401,52.25025531914861,158.8,0.663,39.9,61.7,0.164,0.354,0.364,10.8,53.87,54.56,54.94,1.0700000000000005,13.8,69.1,0.003022696541311,17.7,20.0,0.475,47.0,21.0,850.0,8.0,11.3,229.5,38.3,5.7,3.1,28.0,0.0384125835372473,21.8,1.7,2.54,18.0,10.11,0.0,0.2329390850052606,0.1699198200486159,0.2014294525269382,0.281188541098974,0.215624481671919,0.2484065113854465,0.295502432172307,0.2303670369117914,0.2629347345420492,0.2718630546784111,0.2079109190626558,0.2398869868705334,0.2726031035398565,0.2093182076867625,0.2409606556133095,0.2881206904530519,0.2259243833587857,0.2570225369059188,0.3092176080675315,0.247578040904198,0.2783978244858648,9770,626195.2013648456,189.7561216257108,9253,593058.7715689782,6258,401098.2159816995,121.54491393384832
South Dakota,SD,226,-26.2,884659,0.2972,26959,0.474,44.5178343949041,11.1,0.567,37.4,45.54,0.152,0.33,0.177,15.9,53.16,57.89,61.53,8.370000000000005,11.9,66.4,0.0063131669942881,16.6,16.0,0.436,36.0,27.0,950.0,9.0,8.2,240.4,30.9,3.6,2.5,3.0,0.0198276422488475,24.7,0.7,2.43,19.0,8.73,0.0,0.2623119015047879,0.1575467396260829,0.2099293205654354,0.3196333530455352,0.2016558249556475,0.2606445890005914,0.3391009055627426,0.2195989650711513,0.2793499353169469,0.3784665579119086,0.2634584013050571,0.3209624796084829,0.3817972350230414,0.2732718894009217,0.3275345622119816,0.3791255289139633,0.281805359661495,0.3304654442877291,0.2063056888279643,0.1230294722412611,0.1646675805346127,2022,754256.7249075633,228.5626439113828,1960,731129.1695444233,1799,671072.13061756,203.3551910962303
Tennessee,TN,181,-23.2,6833174,0.2872,24922,0.384,56.01242038216552,157.5,0.664,39.0,58.11,0.156,0.365,0.261,16.2,56.9,59.48,60.72,3.82,13.9,69.4,0.0038996519040785,16.4,19.0,0.475,51.0,24.0,840.0,9.0,11.1,253.1,39.3,5.4,3.3,18.0,0.0351714689628388,22.2,2.0,2.53,20.7,10.2,0.1933215808641782,0.198257107089466,0.1429318035416945,0.1705944553155803,0.2459320288362513,0.1845520082389289,0.2152420185375901,0.2608181644326223,0.1993949825275126,0.2301065734800674,0.2744580876811915,0.2136841172037767,0.2440711024424841,0.2833931369080709,0.2233284479708899,0.2533607924394804,0.2878494326044838,0.2285573699910816,0.2582034012977827,0.2858861116331516,0.2273256906596504,0.256605901146401,12476,602513.5610479113,182.57986698421556,12049,581892.1046061465,9847,475549.137194516,144.10579914985334
Texas,TX,172,-5.6,28995881,0.3077,27125,0.429,54.23087234042542,101.2,0.847,35.0,65.97,0.147,0.34,0.581,11.3,55.45,57.17,52.23,-3.220000000000006,13.6,64.9,0.0031283063963464,12.6,29.0,0.475,42.0,25.0,797.0,14.0,10.9,224.8,31.7,39.4,33.7,13.5,0.0486005885153577,25.8,5.7,2.86,14.4,11.17,0.3542643867244454,0.2910675633030948,0.2439630381929783,0.2675153007480365,0.358905297228564,0.3094066988411409,0.3341559980348524,0.3789689335413733,0.329527723864977,0.3542483287031751,0.3461818475974761,0.2973467076524834,0.3217642776249798,0.3620600605032096,0.3137405002582454,0.3379002803807275,0.3923497144912549,0.3447574299716739,0.3685535722314644,0.4010932414058315,0.3543145953221354,0.3777039183639834,50681,576796.7526146214,174.78689473170346,48762,554956.7540299948,33786,384515.9938406424,116.519998133528
Utah,UT,71,-20.5,3205958,0.3477,24877,0.441,48.01929936305748,35.3,0.906,31.3,49.55,0.158,0.292,0.217,11.2,62.58,72.79,45.54,-17.04,8.9,51.7,0.001738637873609,11.1,13.0,0.427,53.0,28.0,870.0,9.0,7.7,216.2,25.8,14.0,10.7,1.9,0.0364993089841823,29.5,3.2,3.13,9.0,10.96,0.063658663026777,0.1349099203947674,0.0724361063265211,0.1036730133606442,0.162713300254145,0.0939126225341885,0.1283129613941667,0.1739593739593739,0.1033633033633033,0.1386613386613386,0.1780247969217614,0.1105600684053014,0.1442924326635314,0.1934978456717587,0.1233842538190364,0.1584410497453975,0.2056277056277056,0.1370851370851371,0.1713564213564213,0.1839012925969447,0.1195652173913043,0.1517332549941245,2381,245084.30865282705,74.26797231903849,2268,233452.83999353705,1911,196705.63369825805,59.60776778735092
Vermont,VT,40,35.4,623989,0.3866,29178,0.696,65.84951167728201,68.0,0.389,43.0,43.74,0.147,0.266,0.072,5.8,30.45,30.97,30.27,-0.1799999999999997,10.2,71.7,0.003780515361649,19.4,7.0,0.447,21.0,47.0,910.0,7.0,6.7,367.1,30.2,1.9,0.6,2.1,0.0186400879866954,18.5,0.1,2.31,13.7,8.84,0.0,0.1397866839043309,0.0237556561085972,0.0817711700064641,0.1411988180666948,0.0225833685099197,0.0818910932883073,0.1422294172062904,0.0217391304347826,0.0819842738205365,0.1534174244646524,0.0272807274860662,0.0903490759753593,0.1504336224149433,0.029352901934623,0.0898932621747831,0.1578947368421052,0.0350877192982456,0.0964912280701754,0.1547619047619047,0.0357142857142857,0.0952380952380952,256,135387.0020144586,41.02636424680564,201,106299.95080041476,198,104713.38437055782,31.73132859713873
Virginia,VA,130,10.1,8535519,0.3959,34052,0.537,57.61155319148919,209.2,0.755,38.6,55.54,0.109,0.319,0.383,11.0,46.33,47.28,44.41,-1.9200000000000017,9.9,68.7,0.0022904289709858,15.4,14.0,0.469,44.0,24.0,840.0,12.0,9.2,263.2,33.6,9.3,2.1,21.3,0.0363291222918893,22.0,3.4,2.61,14.9,10.91,0.1374574879395148,0.1799003344216356,0.1259566705880797,0.1529285025048577,0.1949424257050265,0.1393332413983314,0.1671378335516789,0.2041371493340889,0.1479172570133182,0.1760272031737036,0.2150444812123828,0.1598925736757547,0.1874685274440687,0.2215371183804872,0.1671077401576951,0.1943224292690912,0.2399747290017955,0.1863071091308106,0.2131409190663031,0.2542290373615675,0.2009249117682852,0.2275769745649263,11333,438156.1332122862,132.7745858219049,9941,384338.6676311072,8105,313355.2863042072,94.95614736491126
Washington,WA,74,19.2,7614893,0.3697,31841,0.548,62.222887473460986,104.9,0.84,37.8,50.47,0.149,0.283,0.314,10.0,40.48,41.29,36.83,-3.649999999999999,9.8,71.4,0.0019821683640203,15.4,12.0,0.458,30.0,38.0,870.0,14.0,8.0,278.8,30.3,12.7,10.0,5.6,0.0325127869715602,22.1,3.3,2.55,12.0,11.12,0.1591235753411111,0.0861041949005641,0.0334867156229317,0.0597954552617479,0.0919070874543439,0.0371814339065129,0.0645442606804284,0.0979942435689872,0.0407447382622773,0.0693694909156323,0.090914279191873,0.0383517863257619,0.0646330327588174,0.086286844579915,0.0369661791886896,0.0616265118843023,0.0910489565663339,0.0444593475087774,0.0677541520375557,0.0776931551468122,0.0376969871150069,0.0576950711309096,6075,263266.9953471441,79.77787737792245,4958,214860.53710800665,3904,169184.25511691367,51.26795609603444
West Virginia,WV,154,-38.9,1792147,0.2105,22714,0.396,55.65095022624437,77.1,0.487,42.9,53.08,0.13,0.397,0.08,16.1,55.71,62.3,68.5,12.79,16.0,69.7,0.0051770306788449,19.9,12.0,0.464,46.0,22.0,876.0,5.0,11.2,263.4,43.8,1.3,0.6,4.8,0.0288268616747347,20.2,0.2,2.42,25.2,9.11,0.0,0.1463414634146341,0.0855466709527062,0.1159440671836701,0.1768718190880948,0.1089249173618762,0.1428983682249855,0.1883549833314174,0.1181745028164156,0.1532647430739165,0.1998256700806276,0.1300937023316626,0.1649596862061451,0.2088193927359973,0.1411433771820964,0.1749813849590469,0.239123851821944,0.1683658019582113,0.2037448268900777,0.2449457593688362,0.1768984220907297,0.210922090729783,2807,516871.6628714051,156.62777662769852,2732,503061.4118149906,2457,452423.8246081376,137.09812866913262
Wisconsin,WI,133,0.6,5822434,0.3134,28213,0.5,55.272016985138016,106.0,0.702,39.8,44.71,0.199,0.342,0.188,10.0,42.31,45.89,47.22,4.909999999999997,10.4,71.6,0.003647271914117,17.0,10.0,0.439,27.0,31.0,860.0,10.0,7.3,264.9,31.0,6.9,4.9,7.5,0.0181059178596703,22.0,1.3,2.4,16.4,10.19,0.1463582068942301,0.149939478664098,0.1003972245426803,0.1251683516033891,0.1831288618250201,0.1288170502373063,0.1559729560311632,0.1951662818686446,0.1405167755563197,0.1678415287124822,0.2207572578372114,0.170210766966271,0.1954840124017412,0.2377769835596855,0.1895639742673338,0.2136704789135096,0.2344863777495955,0.1907989679450737,0.2126426728473346,0.1563970902866923,0.1181536157466837,0.137275353016688,7971,451774.9793299504,136.90150888786374,7379,418222.001314227,6625,375487.2962063632,113.78402915344338
