State/Territory,abbr,deaths_per_100k,dem_margin_2020,population,perc_25plus_with_bachelors,income_per_capita,perc_pop_at_least_1_dose,stringency_index,population_per_sq_mi,perc_urban,median_age,mean_temperature,perc_blue_collar_jobs,obesity_rate,perc_pop_nonwhite,flu_death_rate,McCain08Share,Romney12Share,Trump16Share,Trump16McCain08Shift,poverty_rate,relative_humidity,nursing_resid_per_pop,over_65_pct,uninsured_pct,gini_inequality,regular_church_pct,seldomornever_church_pct,cars_per_capita_pct,share_in_apts_pct,diabetes_pct,doctors_per_capita,high_blood_pressure_pct,hispanic_latino_pct,mex_amer_pct,afr_amer_pct,multi_gen_household_pct,under_18_pct,undocumented_pct,res_per_household,cig_use_pct,urb_index_538,pct_in_city_min_200k,pctExcessAfterMarch1_2020Higher,pctExcessAfterMarch1_2020Lower,pctExcessAfterMarch1_2020,pctExcessAfterJune1_2020Higher,pctExcessAfterJune1_2020Lower,pctExcessAfterJune1_2020,pctExcessAfterJuly1_2020Higher,pctExcessAfterJuly1_2020Lower,pctExcessAfterJuly1_2020,pctExcessAfterSept1_2020Higher,pctExcessAfterSept1_2020Lower,pctExcessAfterSept1_2020,pctExcessAfterOct1_2020Higher,pctExcessAfterOct1_2020Lower,pctExcessAfterOct1_2020,pctExcessAfterNov1_2020Higher,pctExcessAfterNov1_2020Lower,pctExcessAfterNov1_2020,pctExcessAfterDec1_2020Higher,pctExcessAfterDec1_2020Lower,pctExcessAfterDec1_2020,deaths_since_march1_2020,deaths_since_march1_2020_per330million,deaths_since_march1_2020_per100k,deaths_since_june1_2020,deaths_since_june1_2020_per330million,deaths_since_oct1_2020,deaths_since_oct1_2020_per330million,deaths_since_oct1_2020_per100k
Georgia,GA,194,0.2,10617423,0.3251,25615,0.387,56.53188959660277,173.7,0.751,37.1,62.3,0.131,0.331,0.474,11.8,52.2,53.3,50.77,-1.4299999999999995,13.3,71.1,0.0021562671092599,13.9,23.0,0.48,42.0,24.0,829.0,11.0,10.4,228.7,34.8,9.6,5.5,33.5,0.043945904108117,23.8,3.8,2.71,16.1,10.55,0.0482744259129545,0.2556820604665046,0.1982431452816511,0.2269626028740778,0.2916510149282802,0.2317292040569306,0.2616901094926054,0.3081536418990065,0.2483327992186665,0.2782432205588365,0.2938567482395051,0.2345056997237676,0.2641812239816364,0.2968465871291081,0.2380582782631835,0.2674524326961458,0.3187240243968262,0.2611863766394991,0.2899552005181627,0.3439034841942183,0.2869433365197613,0.3154234103569898,21494,668054.7624409426,202.44083710331597,19438,604152.250503724,14364,446447.3158882339,135.28706542067692
Hawaii,HI,34,29.5,1415872,0.3363,29736,0.65,72.79730360934165,218.6,0.919,39.6,72.95,0.08,0.25,0.782,16.8,26.58,27.84,30.03,3.450000000000003,9.3,73.3,0.0024324232699001,18.4,10.0,0.44,28.0,34.0,872.0,13.0,7.5,314.1,30.7,10.5,3.3,3.5,0.0725705406631005,21.4,3.3,3.02,13.4,11.09,0.2412329645617683,0.0386736041003339,0.0030286557427972,0.0208511299215655,0.049564159740523,0.0039529697952564,0.0267585647678897,0.0503228679581385,0.0043420173680694,0.0273324426631039,0.0438049333711369,0.0039693790757017,0.0238871562234193,0.0314119170984455,0.0001619170984455,0.0157869170984455,0.0221612080800156,0.0001961168856638,0.0111786624828397,0.0166825548141086,0.0,0.0083412774070543,500,116535.95805270532,35.31392668263798,483,112573.73547891335,364,84838.17746236948,25.708538624960447
Idaho,ID,116,-30.8,1787065,0.2875,23938,0.369,54.84301486199568,19.5,0.706,36.9,46.32,0.158,0.295,0.18,11.4,61.52,64.53,59.26,-2.260000000000005,11.2,62.4,0.0018387691550111,15.9,18.0,0.434,35.0,37.0,1122.0,6.0,7.8,192.6,30.6,12.4,10.8,1.2,0.0286464011319506,25.5,2.2,2.68,14.7,9.59,0.1285773041271582,0.1470197838316162,0.0833069970292649,0.1151633904304405,0.1864674138646741,0.1091739310917393,0.1478206724782067,0.2013171133266258,0.1202780572578432,0.1607975852922345,0.2056995426292951,0.1284156209686877,0.1670575817989914,0.2075167785234899,0.1339597315436241,0.170738255033557,0.2076897798225435,0.1406506736772921,0.1741702267499178,0.1513092144713172,0.0923445932440535,0.1218269038576853,2144,395911.73236563866,119.9732522320117,2061,380584.9255623047,1645,303766.2312227031,92.05037309778884
Illinois,IL,197,17.0,12671821,0.3576,30417,0.533,59.09520169851382,232.0,0.885,38.6,51.37,0.133,0.316,0.388,13.4,36.78,40.73,38.76,1.9799999999999969,11.5,70.9,0.0051773932097052,15.6,13.0,0.48,34.0,32.0,825.0,11.0,9.2,284.4,32.2,17.2,13.4,15.4,0.0333723386284357,22.4,3.2,2.59,15.5,11.62,0.2113068832017119,0.2341122361602768,0.1816223660166491,0.207867301088463,0.2218872824662902,0.1676734182792083,0.1947803503727493,0.2239550207342203,0.1701605312030936,0.1970577759686569,0.2485753140784872,0.1963961922030825,0.2224857531407848,0.2663029406325134,0.2153134825226558,0.2408082115775846,0.2849989850463496,0.2358075647878746,0.2604032749171121,0.2402026933986946,0.1928892071273168,0.2165459502630057,25468,663238.5353296894,200.98137434233013,19924,518861.4959128605,16398,427037.2821712049,129.40523702157725
Indiana,IN,201,-16.1,6732219,0.2694,25140,0.408,52.27057324840757,183.4,0.724,37.9,51.81,0.214,0.353,0.208,11.6,48.91,54.13,56.82,7.910000000000004,11.9,72.0,0.0055797352997577,15.8,13.0,0.458,37.0,30.0,914.0,8.0,10.0,230.8,34.8,6.9,5.1,11.0,0.0281746039383854,23.4,1.5,2.53,21.1,10.41,0.1708650594996983,0.2195713822147603,0.1636450852861919,0.1916082337504761,0.2400852483320978,0.1813565604151223,0.21072090437361,0.2469837916886704,0.1887313645042044,0.2178575780964374,0.2684920205223399,0.2122618403073194,0.2403769304148297,0.2823218997361477,0.2275285839929639,0.2549252418645558,0.2906268911751095,0.238047773308177,0.2643373322416432,0.2532911830937121,0.2030140308331889,0.2281526069634505,13685,670811.511033732,203.2762154647673,11404,559001.4228592386,9816,481160.8178521822,145.8063084400552
Iowa,IA,191,-8.2,3155070,0.2931,28361,0.483,47.90590233545627,55.3,0.64,38.5,48.14,0.189,0.339,0.141,13.2,44.39,46.18,51.15,6.759999999999998,11.2,72.4,0.0070835195415632,17.1,9.0,0.442,36.0,30.0,1050.0,9.0,8.3,218.2,31.8,5.9,4.6,5.2,0.0197153402562574,23.2,1.7,2.41,16.6,9.59,0.0672923263192258,0.1928269129776652,0.1367891013561521,0.1648080071669086,0.2306571116239524,0.1693590833636989,0.2000080974938256,0.2455089820359281,0.1847416278554003,0.2151253049456642,0.2477841574223758,0.1929316015385473,0.2203578794804615,0.2572459182381977,0.2054170358182508,0.2313314770282242,0.2509040547818727,0.2046626144494883,0.2277833346156805,0.1730534994846809,0.1338892532558793,0.1534713763702801,6068,634673.7156386387,192.32536837534508,5534,578820.7551654956,4722,493890.7853074575,149.6638743355932
Kansas,KS,173,-14.7,2913314,0.3402,27870,0.459,53.89186836518014,35.4,0.742,37.1,54.68,0.162,0.352,0.241,14.0,56.61,59.71,56.65,0.0399999999999991,11.4,65.7,0.0057707476777305,15.9,15.0,0.45,37.0,28.0,830.0,8.0,8.8,227.6,33.5,11.9,9.6,7.4,0.0253652502923144,24.2,2.6,2.52,17.2,10.12,0.1344623339605686,0.1928831800034716,0.1314355146675924,0.162159347335532,0.2378026743765811,0.1706270328876039,0.2042148536320925,0.252952512724218,0.1862430202105055,0.2195977664673618,0.2778124609813959,0.2151329754026719,0.2464727181920339,0.2870298222001842,0.2272437486718141,0.2571367854359991,0.2887540591351906,0.233720731498889,0.2612373953170398,0.2528235416019065,0.2030877629261216,0.2279556522640141,5129,580977.5396678834,176.0537998993586,4920,557303.4695195918,4450,504065.1299516633,152.7470090762616
Kentucky,KY,150,-25.9,4467673,0.2513,23684,0.453,63.08266203703701,111.3,0.584,39.1,55.62,0.176,0.365,0.154,15.7,57.4,60.49,62.52,5.1200000000000045,16.3,70.3,0.0048083196778278,16.4,10.0,0.476,39.0,29.0,840.0,8.0,9.7,230.9,40.9,3.5,2.1,9.5,0.032711130121711,22.6,0.8,2.49,23.4,9.79,0.2110881884148638,0.1818373326694371,0.1219334699427389,0.151885401306088,0.2166288322897697,0.151944520667548,0.1842866764786589,0.2276054183963294,0.1627976840725365,0.195201551234433,0.2403098094809999,0.1767227965837972,0.2085163030323986,0.2480028334185982,0.1853134469324308,0.2166581401755145,0.2527367464983986,0.1915961566040441,0.2221664515512214,0.2349688609510505,0.1755427507129969,0.2052558058320237,5896,435501.8820759711,131.9702672957488,5465,403666.5172227242,4722,348785.59822977195,105.69260552417332
Louisiana,LA,226,-18.6,4648794,0.2498,24800,0.351,60.92660297239909,107.1,0.732,37.5,66.74,0.16,0.359,0.415,12.1,58.56,57.78,58.09,-0.4699999999999988,19.0,74.0,0.0055633783729715,15.4,14.0,0.498,46.0,21.0,910.0,7.0,10.8,260.3,39.7,5.2,2.1,33.4,0.0360035977751689,23.5,1.5,2.61,20.5,10.18,0.1309001861558072,0.2602342688094667,0.1834972415447349,0.2218657551771008,0.2512875480379598,0.1735902329350866,0.2124388904865232,0.2600183717992881,0.1825697554254219,0.221294063612355,0.2367414490621552,0.1600220669363736,0.1983817579992644,0.2407766172506738,0.1647574123989218,0.2027670148247978,0.259121830550402,0.1840857555143269,0.2216037930323644,0.2799771602588504,0.2054307828955716,0.242703971577211,10656,756428.4414409414,229.22073983058831,7824,555395.657454385,5104,362313.32255204255,109.79191592486136
Maine,ME,61,9.1,1344212,0.3319,27978,0.614,66.96473460721919,43.1,0.387,45.0,43.09,0.13,0.317,0.066,14.7,40.38,40.98,44.87,4.489999999999995,10.9,71.7,0.0043490163753931,20.6,13.0,0.449,22.0,47.0,830.0,7.0,8.1,330.2,36.2,1.6,0.5,2.4,0.0214010020606047,18.7,0.4,2.33,17.8,9.04,0.0,0.0587219343696027,0.0120281273131014,0.035375030841352,0.0681836391314798,0.0154635045268808,0.0418235718291803,0.0719487584452048,0.0169342809511274,0.0444415196981661,0.0776112726459405,0.0208007157235517,0.0492059941847461,0.0759008433427038,0.0222335803731152,0.0490672118579095,0.0912225705329153,0.0272727272727272,0.0592476489028213,0.0863461538461538,0.0259615384615384,0.0561538461538461,843,206953.96261899165,62.713322005755046,754,185104.73050381933,701,172093.3900307392,52.14951213052703
